FileName,LineNo,Code,FileHash,Status,Message
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,178,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,237,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,302,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,376,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,456,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\bus\usb\usbcoredxe\usbpciio.c,525,C6297,7d37aaba8c172e161a10b37f447b6454,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\csm\legacybiosdxe\legacybootsupport.c,1486,C6297,e5c4f4e0634fe6adf2e2959c5d1c3cfc,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
insydemodulepkg\csm\legacybiosdxe\legacybootsupport.c,2133,C6297,e5c4f4e0634fe6adf2e2959c5d1c3cfc,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1019,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1022,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1025,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,1060,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Private'. : Lines: 972, 973, 974, 975, 976, 977, 978, 979, 981, 983, 984, 986, 992, 999, 1045, 1047, 1048, 1049, 1050, 1051, 1052, 1054, 1055, 1056, 1057, 1058, 1060"
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,1094,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Manager'. : Lines: 972, 973, 974, 975, 976, 977, 978, 979, 981, 983, 984, 986, 992, 999, 1045, 1047, 1048, 1049, 1050, 1051, 1052, 1054, 1055, 1056, 1057, 1058, 1060, 1067, 1078, 1085, 1091, 1093, 1094"
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1114,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1136,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1242,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1245,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1248,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,1281,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Private'. : Lines: 1195, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1204, 1206, 1207, 1209, 1215, 1222, 1267, 1269, 1270, 1271, 1272, 1273, 1275, 1276, 1277, 1278, 1279, 1281"
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,1311,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Manager'. : Lines: 1195, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1204, 1206, 1207, 1209, 1215, 1222, 1267, 1269, 1270, 1271, 1272, 1273, 1275, 1276, 1277, 1278, 1279, 1281, 1288, 1295, 1302, 1308, 1310, 1311"
InsydeModulePkg\Universal\UserInterface\SetupBrowserDxe\GraphicsUi\GraphicsDialog.c,1331,C4996,d0b1d02f417af383513d7f64d6a2bb31,New,'UnicodeValueToString': was declared deprecated
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,241,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Manager'. : Lines: 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 151, 153, 154, 156, 162, 170, 239, 240, 241"
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,246,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Private'. : Lines: 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 151, 153, 154, 156, 162, 170, 239, 240, 241, 242, 244, 246"
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,358,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Private'. : Lines: 322, 323, 324, 325, 326, 328, 330, 331, 333, 339, 348, 354, 358"
insydemodulepkg\universal\userinterface\setupbrowserdxe\graphicsui\graphicsdialog.c,359,C6011,d0b1d02f417af383513d7f64d6a2bb31,New,"Dereferencing NULL pointer 'Manager'. : Lines: 322, 323, 324, 325, 326, 328, 330, 331, 333, 339, 348, 354, 358, 359"
